0,1,2,3,4,5,6,7,8,9,10,11,label
0.421134651,-0.010270625,-0.08579652,0.862604141,0.925816894,-0.236644685,-2.018841267,0.750657439,-0.965525031,-0.775688112,0.442308635,-0.54791081,16
0.580395579,0.089023799,-0.632170856,1.665557623,1.105106115,-0.037457496,-1.926896811,0.596640706,-0.616607308,-1.260682821,0.563768387,-0.225613177,20
0.53905654,0.25715667,0.439995706,1.309326649,1.229649305,-0.000155538,-1.527142286,-1.073684335,-0.887812853,-1.170500398,0.729483545,-0.164802372,74
0.565431416,0.020967126,-0.400050759,1.297255874,0.890944362,-0.657163441,-1.437709808,0.449494243,-0.91929704,-0.918296754,0.328319401,-0.618986785,50
1.046849608,1.433708668,-1.356814623,-1.387316823,-1.000386357,0.195044339,-1.529807329,1.292848349,-0.637200534,-0.863922715,1.023480058,0.013822392,17
0.424075931,0.085020691,0.498772025,0.812337518,0.835023403,-0.587139428,-2.11858201,0.568253934,-0.950674176,0.138505816,-0.448839217,-0.641998529,62
0.526304066,0.03767243,-0.608007073,1.575847149,1.13218689,0.036559895,-1.93508184,0.498246789,-0.67415756,-1.142767191,0.748615444,-0.23943691,92
0.539893448,0.028008461,0.082663625,1.154507875,0.983229637,-0.158267677,-1.945492506,0.697110355,-0.930404603,-0.927622736,0.391206324,-0.617677033,67
0.531033397,0.054859489,-0.633151531,1.357516885,0.948952436,-0.466511667,-1.414680123,-0.074799716,-0.977420509,-0.864283442,-0.654288769,-0.519863486,82
0.465120971,-0.033264339,-0.352650166,0.998348355,0.877258241,-0.598222971,-1.78027916,0.54535991,-0.935723722,-0.783911288,0.414204061,-0.658660293,54
0.388162285,0.237590551,0.73239547,0.992079198,1.046671629,-0.032466277,-1.437565088,-1.027246356,-1.005405426,-1.529093742,0.66082269,-0.16754128,67
0.642632186,-0.022927672,-0.755920053,1.504666567,0.98672992,-0.850170672,-1.532978773,-0.122125864,-0.943101227,-1.08639586,-0.683778286,-0.473868728,88
0.42879045,0.089030683,-0.088350222,0.713656187,0.850907266,-0.744848251,-1.690321207,1.321859956,-0.336215228,-0.903186977,0.238075316,-0.748230457,40
