,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.9996,358.90127,0.99892,358.83103,0.99925,358.89453
1,Gen1A-10,0.99974,349.65935,0.99918,349.41849,0.9864,348.92087,1.00053,349.40505
2,Gen1A-11,1.0,349.68644,0.99947,349.45631,0.98719,348.93655,1.00073,349.43245
3,Gen1A-2,1.0,357.97005,0.99954,357.93152,0.99797,357.83521,0.99945,357.92392
4,Gen1A-3,1.0,359.33597,0.99962,359.32248,0.99925,359.2708,0.99919,359.31652
5,Gen1A-4,1.0,49.99998,0.99969,49.99531,1.00017,49.95897,0.99924,49.93991
6,Gen1A-5,1.0,349.94507,0.99944,349.69818,0.98716,349.17839,1.00077,349.70407
7,Gen1A-6,0.99873,349.07845,0.99819,348.83767,0.98505,348.31544,0.99955,348.82302
8,Gen1A-7,1.0,359.47023,0.99962,359.45641,0.99885,359.39518,0.99876,359.44939
9,Gen1A-8,0.99758,353.21166,0.99705,353.11309,0.99088,352.88458,0.9974,353.08643
10,Gen1A-9,0.99611,354.01638,0.99558,353.92712,0.99014,353.72152,0.99583,353.90517
11,Gen1B-1,1.00984,10.37858,1.00909,10.40127,1.00732,12.87704,1.00816,8.9592
12,Gen1B-11,0.99999,7.02756,0.99924,7.02082,0.99562,8.93721,0.99895,5.83411
13,Gen1B-12,0.99778,6.4718,0.99699,6.4599,0.99248,8.36808,0.99699,5.2817
14,Gen1B-13,1.00873,9.93964,1.0079,9.96129,1.0056,12.49748,1.00706,8.49717
15,Gen1B-14,1.01203,10.20758,1.01111,10.23005,1.00814,12.8721,1.01027,8.72515
16,Gen1B-2,1.0082,9.40245,1.00749,9.41995,1.00563,11.73045,1.00648,8.04881
17,Gen1B-3,1.01278,14.30337,1.01219,14.3426,1.01204,17.00665,1.01083,12.80386
18,Gen1B-3-1,1.01278,14.30337,1.01219,14.3426,1.01204,17.00665,1.01083,12.80386
19,Gen1B-4,1.00976,10.24269,1.00897,10.26536,1.00704,12.77333,1.00807,8.81086
20,Gen1B-4-1,1.01738,9.32605,1.01664,9.34325,1.01455,11.68131,1.01571,7.96149
21,Gen1B-5,1.00709,9.03109,1.00609,9.04843,1.00243,11.68802,1.0055,7.55003
22,Gen1B-6,1.00616,8.66382,1.00509,8.67903,1.00075,11.34782,1.00446,7.17248
23,Gen1B-6-1,1.0065,8.94898,1.00547,8.966,1.00163,11.64021,1.005,7.45411
24,Gen1B-7,1.01203,10.20757,1.01111,10.23004,1.00814,12.8721,1.01027,8.72514
25,Gen2E-17,1.00083,358.47508,0.91854,354.78505,0.86093,307.69647,1.03407,160.94479
26,Gen2E-18,0.99988,358.55603,0.9322,355.57122,0.8686,308.53173,1.02945,161.32466
27,Gen2E-2,0.99958,358.89852,0.93755,356.23057,0.87391,309.92509,1.02839,162.04082
28,Gen2E-30,0.99954,358.06397,0.91893,354.39783,0.85929,307.36799,1.0331,160.55121
29,Gen2E-33,0.99956,357.34113,0.92515,353.89098,0.8597,306.89017,1.03151,160.03485
30,Gen2E-34,0.9996,358.89498,0.93735,356.21895,0.87534,309.89065,1.03031,162.01513
31,Gen2E-35,0.99738,357.34425,0.9293,354.22293,0.86044,307.2601,1.02823,160.23227
32,Gen2E-36,0.99783,357.35576,0.92648,354.06486,0.85916,306.91898,1.02943,160.09456
33,Gen2E-37,0.99961,357.77141,0.94555,355.33342,0.87641,309.71631,1.02188,161.3476
34,Gen2E-5,0.99573,359.39226,0.90284,355.47087,0.84984,307.83189,1.02853,161.8306
35,Gen2E-7,0.99957,359.12245,0.93634,356.42868,0.87308,309.58052,1.02784,162.04764
36,Gen2W-1,0.99944,5.30047,0.7739,355.40406,0.82784,313.14841,1.05365,165.58334
37,Gen2W-11,0.99944,5.22766,0.76769,354.89481,0.82775,313.11515,1.05382,165.52661
38,Gen2W-12,0.99945,4.85749,0.78536,355.46046,0.82827,312.71493,1.05312,165.25498
39,Gen2W-21,0.99944,5.07524,0.77965,355.4414,0.82722,313.06313,1.05458,165.3669
40,Gen2W-24,0.99933,4.3638,0.78396,354.76248,0.82814,312.2094,1.0536,164.74389
41,Gen2W-25,0.99849,4.65633,0.76657,354.06667,0.8269,312.46091,1.05173,165.06048
42,Gen2W-5,0.99944,5.19041,0.77212,355.20851,0.83032,312.92873,1.0515,165.51539
43,Gen2W-6,0.99822,4.626,0.77663,354.7056,0.82787,312.38331,1.05041,165.08627
44,Gen3D-10,0.99723,5.21419,0.9949,4.93637,0.96302,348.31206,0.98293,180.19512
45,Gen3D-13,1.00098,5.46362,0.99897,5.21402,0.96965,348.71733,0.992,180.43657
46,Gen3D-15,0.99715,5.47699,0.9943,5.15188,0.96044,348.30373,0.98226,180.40164
47,Gen3D-17,0.99349,4.7628,0.99127,4.49209,0.95994,347.8699,0.98112,179.7307
48,Gen3D-20,1.00126,6.34186,0.9994,6.12067,0.97141,349.79416,0.99369,181.37233
49,Gen3D-23,0.99638,5.41177,0.99357,5.08874,0.95955,348.24926,0.98206,180.3304
50,Gen3D-25,0.99478,5.48591,0.99159,5.12607,0.95532,348.10178,0.98176,180.33409
51,Gen3D-26,0.99784,5.56485,0.99504,5.24318,0.96129,348.40823,0.98439,180.48342
52,Gen3D-29,0.99563,5.62378,0.99239,5.25911,0.9559,348.21506,0.98311,180.46196
53,Gen3D-30,0.98896,5.10097,0.98537,4.69956,0.94606,347.46945,0.97515,179.8772
54,Gen3D-31,0.99536,5.29517,0.99254,4.97139,0.95839,348.11883,0.98111,180.20965
55,Gen3D-32,0.99369,5.15668,0.99082,4.82552,0.95615,347.92347,0.97966,180.05524
56,Gen3D-4,0.99982,5.75322,0.99707,5.43868,0.96306,348.64673,0.98486,180.69199
57,Gen3D-5,0.99832,5.59331,0.99558,5.27735,0.96176,348.46499,0.98442,180.52222
58,Gen3L-10,0.99156,6.37629,0.98862,6.07159,0.95395,349.48168,0.97418,181.36377
59,Gen3L-18,0.99793,6.99725,0.995,6.69799,0.96091,350.18587,0.9801,182.01717
60,Gen3L-2,0.99472,6.78569,0.99141,6.45108,0.95568,349.72744,0.97836,181.72169
61,Gen3L-20,0.99962,7.43278,0.99671,7.13751,0.96317,350.68209,0.98153,182.47722
62,Gen3L-21,0.99962,7.80925,0.99674,7.51945,0.96408,351.13201,0.9814,182.88554
63,Gen3L-22,0.99962,7.89976,0.99675,7.61166,0.9642,351.24229,0.98132,182.98349
64,Gen3L-26-1,0.99565,355.64869,0.99298,355.36883,0.96345,338.27248,0.98239,170.53428
65,Gen3L-27,0.99415,353.81379,0.99123,353.51978,0.95879,336.16817,0.97918,168.64282
66,Gen3L-29,0.99961,356.00317,0.99703,355.7507,0.96774,338.82848,0.98116,171.01407
67,Gen3L-3,0.99691,6.99597,0.99377,6.67839,0.95916,350.06682,0.97987,181.97798
68,Gen3L-30,0.99785,355.86609,0.99524,355.59177,0.96587,338.5384,0.98388,170.76708
69,Gen3L-31,0.99985,13.02897,0.99683,12.76687,0.97854,357.62836,0.99287,188.35419
70,Gen3L-32,0.99745,9.51904,0.99403,9.19858,0.97057,353.00693,0.9925,184.55064
