,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99966,358.90257,0.99852,358.81824,0.99884,358.78478
1,Gen1A-10,0.99974,349.65935,0.99936,349.4338,0.9856,348.79416,1.00287,348.64672
2,Gen1A-11,1.0,349.68644,0.99963,349.47102,0.98641,348.81035,1.0031,348.67425
3,Gen1A-2,1.0,357.97005,0.99962,357.93388,0.99751,357.81342,0.99915,357.7608
4,Gen1A-3,1.0,359.33597,0.99968,359.3233,0.99887,359.2625,0.99872,359.23778
5,Gen1A-4,1.0,49.99998,0.99973,49.99499,0.99986,49.95756,0.99873,49.92832
6,Gen1A-5,1.0,349.94507,0.99961,349.71378,0.98637,349.05051,1.00302,348.96389
7,Gen1A-6,0.99873,349.07845,0.99837,348.8531,0.98425,348.18623,1.00192,348.06079
8,Gen1A-7,1.0,359.47023,0.99968,359.45726,0.99846,359.38613,0.99827,359.35941
9,Gen1A-8,0.99758,353.21166,0.99716,353.11937,0.99024,352.82695,0.9977,352.70226
10,Gen1A-9,0.99611,354.01638,0.99568,353.93277,0.98953,353.66983,0.99598,353.55985
11,Gen1B-1,1.00984,10.37858,1.00914,10.39965,1.00556,12.96505,1.01027,6.04172
12,Gen1B-11,0.99999,7.02756,0.99931,7.02088,0.99433,8.97733,1.00201,3.32855
13,Gen1B-12,0.99778,6.4718,0.99707,6.46026,0.99108,8.40756,1.0003,2.78972
14,Gen1B-13,1.00873,9.93964,1.00796,9.95975,1.00346,12.59317,1.00934,5.55019
15,Gen1B-14,1.01203,10.20758,1.01118,10.22847,1.00558,12.97968,1.01259,5.7098
16,Gen1B-2,1.0082,9.40245,1.00755,9.41863,1.00412,11.80262,1.00865,5.24676
17,Gen1B-3,1.01278,14.30337,1.01223,14.34002,1.01083,17.10363,1.01174,9.69497
18,Gen1B-3-1,1.01278,14.30337,1.01223,14.34002,1.01083,17.10363,1.01174,9.69497
19,Gen1B-4,1.00976,10.24269,1.00903,10.26375,1.00512,12.86521,1.01024,5.87597
20,Gen1B-4-1,1.01738,9.32605,1.0167,9.34195,1.01292,11.75649,1.01798,5.14349
21,Gen1B-5,1.00709,9.03109,1.00616,9.04716,0.99949,11.79743,1.00824,4.55873
22,Gen1B-6,1.00616,8.66382,1.00516,8.6779,0.99749,11.46103,1.00728,4.17075
23,Gen1B-6-1,1.0065,8.94898,1.00554,8.96476,0.99855,11.75356,1.00786,4.44392
24,Gen1B-7,1.01203,10.20757,1.01118,10.22846,1.00559,12.97967,1.01259,5.70979
25,Gen2E-17,1.00083,358.47508,0.92232,353.15599,0.8257,276.97742,1.07041,99.70791
26,Gen2E-18,0.99988,358.55603,0.93514,354.23877,0.82797,278.79953,1.06769,99.9964
27,Gen2E-2,0.99958,358.89852,0.94027,355.0141,0.82571,281.20163,1.06973,100.48399
28,Gen2E-30,0.99954,358.06397,0.92261,352.79551,0.82403,276.65551,1.07069,99.3235
29,Gen2E-33,0.99956,357.34113,0.92857,352.40643,0.82112,276.58201,1.06991,98.76713
30,Gen2E-34,0.9996,358.89498,0.94007,354.99883,0.82734,281.15778,1.07306,100.49385
31,Gen2E-35,0.99738,357.34425,0.93243,352.86844,0.81799,277.50427,1.0674,98.89022
32,Gen2E-36,0.99783,357.35576,0.92974,352.64367,0.81975,276.78161,1.06761,98.82624
33,Gen2E-37,0.99961,357.77141,0.94785,354.2697,0.82243,281.76059,1.06535,99.63723
34,Gen2E-5,0.99573,359.39226,0.90855,353.61498,0.81534,276.96113,1.06369,100.43673
35,Gen2E-7,0.99957,359.12245,0.93914,355.19157,0.82928,280.45006,1.06867,100.65636
