,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99845,358.88696,0.99945,358.76827,0.99879,358.85167
1,Gen1A-10,0.99974,349.65935,0.99575,349.23969,0.98721,348.5614,1.00454,349.05892
2,Gen1A-11,1.0,349.68644,0.99617,349.28468,0.98801,348.57451,1.0046,349.08
3,Gen1A-2,1.0,357.97005,0.99818,357.90545,0.99851,357.74874,0.99955,357.85016
4,Gen1A-3,1.0,359.33597,0.99857,359.31355,0.99975,359.22389,0.99843,359.291
5,Gen1A-4,1.0,49.99998,0.99881,49.99367,1.00065,49.92703,0.99807,49.87581
6,Gen1A-5,1.0,349.94507,0.99594,349.51632,0.988,348.80083,1.00489,349.37017
7,Gen1A-6,0.99873,349.07845,0.99479,348.65676,0.98596,347.94809,1.00358,348.47711
8,Gen1A-7,1.0,359.47023,0.99856,359.44743,0.99926,359.33985,0.99735,359.42615
9,Gen1A-8,0.99758,353.21166,0.99506,353.04087,0.99146,352.71013,0.99874,352.9088
10,Gen1A-9,0.99611,354.01638,0.99368,353.86257,0.9907,353.56015,0.99691,353.74577
11,Gen1B-1,1.00984,10.37858,1.00836,10.42119,1.00837,14.35192,1.0095,7.236
12,Gen1B-11,0.99999,7.02756,0.99812,7.02354,0.99515,10.08159,1.00249,4.34447
13,Gen1B-12,0.99778,6.4718,0.99581,6.45949,0.99183,9.50099,1.00046,3.80608
14,Gen1B-13,1.00873,9.93964,1.00715,9.98034,1.00704,13.99471,1.0083,6.75829
15,Gen1B-14,1.01203,10.20758,1.01036,10.24942,1.00998,14.42073,1.01122,6.95055
16,Gen1B-2,1.0082,9.40245,1.0067,9.43686,1.00623,13.11584,1.00834,6.38821
17,Gen1B-3,1.01278,14.30337,1.0117,14.37224,1.01303,18.63442,1.01098,10.98163
18,Gen1B-3-1,1.01278,14.30337,1.0117,14.37224,1.01303,18.63442,1.01098,10.98163
19,Gen1B-4,1.00976,10.24269,1.00824,10.28515,1.00828,14.2615,1.00934,7.07817
20,Gen1B-4-1,1.01738,9.32605,1.01584,9.35995,1.01523,13.07879,1.01755,6.29324
21,Gen1B-5,1.00709,9.03109,1.00528,9.06453,1.00457,13.21881,1.00666,5.78791
22,Gen1B-6,1.00616,8.66382,1.00425,8.69377,1.00313,12.88735,1.00558,5.40451
23,Gen1B-6-1,1.0065,8.94898,1.00465,8.98184,1.00394,13.18551,1.00611,5.6819
24,Gen1B-7,1.01203,10.20757,1.01036,10.24942,1.00998,14.42072,1.01123,6.95054
25,Gen2E-17,1.00083,358.47508,0.82905,350.66268,0.69585,325.68979,1.10677,210.17827
