,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.9981,358.88297,0.99961,358.74893,0.99806,358.85522
1,Gen1A-10,0.99974,349.65935,0.99471,349.18886,0.98806,348.43365,0.99174,348.85953
2,Gen1A-11,1.0,349.68644,0.99517,349.2359,0.98885,348.44713,0.99161,348.91873
3,Gen1A-2,1.0,357.97005,0.99778,357.89814,0.99872,357.7205,0.99811,357.84619
4,Gen1A-3,1.0,359.33597,0.99826,359.31106,0.9999,359.2099,0.99797,359.29461
5,Gen1A-4,1.0,49.99998,0.99855,49.99336,1.00078,49.91682,0.99859,49.71996
6,Gen1A-5,1.0,349.94507,0.99488,349.46456,0.98882,348.66691,0.99266,349.0822
7,Gen1A-6,0.99873,349.07845,0.99376,348.60533,0.98691,347.81825,0.99056,348.2563
8,Gen1A-7,1.0,359.47023,0.99825,359.44493,0.99938,359.32445,0.99563,359.44056
9,Gen1A-8,0.99758,353.21166,0.99446,353.02053,0.99191,352.64908,0.99283,352.89422
10,Gen1A-9,0.99611,354.01638,0.99311,353.8444,0.9911,353.50386,0.99174,353.72585
11,Gen1B-1,1.00984,10.37858,1.0082,10.42855,1.0077,14.83877,1.01622,15.62462
12,Gen1B-11,0.99999,7.02756,0.99782,7.02555,0.99443,10.45,1.00194,11.30337
13,Gen1B-12,0.99778,6.4718,0.99549,6.46072,0.99101,9.86549,0.99835,10.6981
14,Gen1B-13,1.00873,9.93964,1.00699,9.98775,1.00628,14.49099,1.01589,15.24363
15,Gen1B-14,1.01203,10.20758,1.01021,10.25724,1.00911,14.93787,1.01913,15.65466
16,Gen1B-2,1.0082,9.40245,1.00651,9.44311,1.0056,13.56911,1.01336,14.39962
17,Gen1B-3,1.01278,14.30337,1.01159,14.38182,1.01262,19.17493,1.01756,20.01608
18,Gen1B-3-1,1.01278,14.30337,1.01159,14.38182,1.01262,19.17493,1.01756,20.01608
19,Gen1B-4,1.00976,10.24269,1.00809,10.2926,1.00758,14.75374,1.01659,15.52456
20,Gen1B-4-1,1.01738,9.32605,1.01565,9.36623,1.01456,13.53693,1.02272,14.35342
21,Gen1B-5,1.00709,9.03109,1.00512,9.0718,1.00359,13.72984,1.01543,14.41369
22,Gen1B-6,1.00616,8.66382,1.00409,8.70093,1.00206,13.40225,1.01434,14.067
23,Gen1B-6-1,1.0065,8.94898,1.0045,8.98919,1.00293,13.70228,1.01543,14.36731
24,Gen1B-7,1.01203,10.20757,1.01021,10.25723,1.00912,14.93786,1.01913,15.65465
25,Gen2E-17,1.00083,358.47508,0.79975,348.88121,0.63349,322.75742,0.4083,307.38851
26,Gen2E-18,0.99988,358.55603,0.83233,350.59753,0.66477,321.97272,0.4254,305.64692
27,Gen2E-2,0.99958,358.89852,0.84456,351.38971,0.68877,322.60117,0.43414,302.60944
28,Gen2E-30,0.99954,358.06397,0.80257,348.86633,0.63069,322.20361,0.40514,306.51647
29,Gen2E-33,0.99956,357.34113,0.8171,348.67034,0.6385,320.59025,0.40197,302.07396
30,Gen2E-34,0.9996,358.89498,0.84403,351.36879,0.68991,322.57376,0.43637,302.62121
31,Gen2E-35,0.99738,357.34425,0.82924,349.14776,0.65199,320.19541,0.40702,299.88148
32,Gen2E-36,0.99783,357.35576,0.82229,348.8838,0.64281,320.2823,0.40394,301.59846
33,Gen2E-37,0.99961,357.77141,0.86455,351.41224,0.70184,320.54344,0.43337,295.19456
34,Gen2E-5,0.99573,359.39226,0.76818,346.64117,0.62549,324.55742,0.41271,307.6621
35,Gen2E-7,0.99957,359.12245,0.84162,351.58358,0.68166,322.64584,0.43526,304.88948
36,Gen2W-1,0.99944,5.30047,0.48964,337.52981,0.49908,352.30847,0.39042,343.90757
37,Gen2W-11,0.99944,5.22766,0.47899,335.69085,0.49868,352.1131,0.38845,343.74841
38,Gen2W-12,0.99945,4.85749,0.51235,339.0332,0.50255,350.29161,0.38452,342.01409
39,Gen2W-21,0.99944,5.07524,0.50047,338.54719,0.49913,352.3237,0.38566,344.44385
40,Gen2W-24,0.99933,4.3638,0.50945,338.1664,0.50896,350.31702,0.39521,343.14323
41,Gen2W-25,0.99849,4.65633,0.47945,334.17862,0.50092,350.21618,0.38779,341.82865
42,Gen2W-5,0.99944,5.19041,0.48603,336.98212,0.50769,351.53149,0.40339,343.02223
43,Gen2W-6,0.99822,4.626,0.49783,336.60741,0.50384,349.30875,0.38941,340.62986
44,Gen3D-10,0.99723,5.21419,0.98887,4.69862,0.96198,344.54199,1.00722,231.27277
45,Gen3D-13,1.00098,5.46362,0.99362,5.01342,0.96886,344.96252,1.01997,231.43394
46,Gen3D-15,0.99715,5.47699,0.98701,4.85678,0.9594,344.5242,1.0035,231.51796
47,Gen3D-17,0.99349,4.7628,0.98547,4.26204,0.95888,344.10316,1.00612,230.81561
48,Gen3D-20,1.00126,6.34186,0.99453,5.95058,0.97086,346.05117,1.02452,232.25736
49,Gen3D-23,0.99638,5.41177,0.98632,4.79551,0.9584,344.47444,1.00255,231.45668
50,Gen3D-25,0.99478,5.48591,0.98334,4.78662,0.95389,344.33281,0.99752,231.53232
51,Gen3D-26,0.99784,5.56485,0.98781,4.95225,0.96022,344.63646,1.00554,231.6027
52,Gen3D-29,0.99563,5.62378,0.98399,4.91413,0.95446,344.44882,0.99845,231.66521
53,Gen3D-30,0.98896,5.10097,0.97606,4.30533,0.94408,343.69773,0.98384,231.16326
54,Gen3D-31,0.99536,5.29517,0.9853,4.67674,0.95721,344.3439,1.00139,231.34689
55,Gen3D-32,0.99369,5.15668,0.98341,4.52108,0.95488,344.14841,0.999,231.21696
56,Gen3D-4,0.99982,5.75322,0.99002,5.15713,0.96194,344.87439,1.00625,231.81455
57,Gen3D-5,0.99832,5.59331,0.98852,4.99358,0.96067,344.69397,1.00592,231.64862
58,Gen3L-10,0.99156,6.37629,0.98166,5.80375,0.95259,345.68163,0.99506,232.59477
59,Gen3L-18,0.99793,6.99725,0.98808,6.43925,0.95973,346.38242,1.0023,233.18808
60,Gen3L-2,0.99472,6.78569,0.98351,6.14703,0.95431,345.93373,0.99609,232.96104
61,Gen3L-20,0.99962,7.43278,0.98984,6.8854,0.96215,346.87505,1.00478,233.60064
62,Gen3L-21,0.99962,7.80925,0.98997,7.27577,0.96327,347.31669,1.00653,233.93997
63,Gen3L-22,0.99962,7.89976,0.99002,7.37047,0.96342,347.4256,1.00673,234.02621
64,Gen3L-26-1,0.99565,355.64869,0.98919,355.12415,0.96194,332.5578,1.01167,219.8188
65,Gen3L-27,0.99415,353.81379,0.98768,353.2595,0.95746,330.15908,1.00623,217.58856
66,Gen3L-29,0.99961,356.00317,0.99395,355.54718,0.96666,332.70091,1.01467,219.59
67,Gen3L-3,0.99691,6.99597,0.98632,6.39678,0.95799,346.26635,1.00035,233.16403
68,Gen3L-30,0.99785,355.86609,0.99152,355.35483,0.96432,332.82399,1.01351,220.03688
69,Gen3L-31,0.99985,13.02897,0.98996,12.56672,0.98313,353.8388,1.02901,240.06497
70,Gen3L-32,0.99745,9.51904,0.98601,8.91922,0.97384,349.13574,1.02849,235.69399
71,Gen3L-33,0.99982,344.48599,0.98514,342.76064,0.94344,316.09493,0.95903,206.53406
72,Gen3L-34,1.00519,344.31499,0.98742,341.473,0.96413,313.7026,0.98447,204.22674
73,Gen3L-35,1.00017,344.35753,0.98912,342.87767,0.95751,316.03494,0.99516,205.69981
