,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99723,358.8594,1.00244,358.67375,0.99637,358.60357
1,Gen1A-10,0.99974,349.65935,0.9926,348.92029,1.00292,347.83768,0.99533,347.06968
2,Gen1A-11,1.0,349.68644,0.99315,348.97803,1.00298,347.8755,0.9941,347.10439
3,Gen1A-2,1.0,357.97005,0.99676,357.85586,1.00235,357.59785,0.99648,357.46548
4,Gen1A-3,1.0,359.33597,0.99745,359.29611,1.00238,359.15863,0.9964,359.11921
5,Gen1A-4,1.0,49.99998,0.99788,49.98937,1.00275,49.86085,0.99772,49.59376
6,Gen1A-5,1.0,349.94507,0.99272,349.19038,1.00403,348.04121,0.99546,347.30744
7,Gen1A-6,0.99873,349.07845,0.99168,348.33471,1.00183,347.22864,0.9946,346.44468
8,Gen1A-7,1.0,359.47023,0.99744,359.42957,1.00179,359.2694,0.99304,359.24327
9,Gen1A-8,0.99758,353.21166,0.99308,352.90922,0.99861,352.38279,0.99218,352.00848
10,Gen1A-9,0.99611,354.01638,0.99177,353.74411,0.9973,353.25623,0.99082,352.92586
11,Gen1B-1,1.00984,10.37858,1.00867,10.50678,1.00729,16.15677,1.00961,12.98888
12,Gen1B-11,0.99999,7.02756,0.99749,7.05553,0.99454,11.40149,0.99949,8.7018
13,Gen1B-12,0.99778,6.4718,0.99513,6.48744,0.99108,10.79705,0.99574,8.11817
14,Gen1B-13,1.00873,9.93964,1.00764,10.07345,1.00571,15.83812,1.00805,12.63153
15,Gen1B-14,1.01203,10.20758,1.0111,10.35267,1.00833,16.34197,1.0101,13.05999
16,Gen1B-2,1.0082,9.40245,1.00673,9.50802,1.00533,14.7895,1.0082,11.75317
17,Gen1B-3,1.01278,14.30337,1.01209,14.46511,1.01242,20.63662,1.01223,17.29708
18,Gen1B-3-1,1.01278,14.30337,1.01209,14.46511,1.01242,20.63662,1.01223,17.29708
19,Gen1B-4,1.00976,10.24269,1.00864,10.37457,1.0071,16.08863,1.0094,12.89861
20,Gen1B-4-1,1.01738,9.32605,1.01592,9.43341,1.01424,14.77029,1.01713,11.71533
21,Gen1B-5,1.00709,9.03109,1.00612,9.17195,1.00269,15.12107,1.00517,11.85192
22,Gen1B-6,1.00616,8.66382,1.0052,8.80623,1.001,14.80454,1.0033,11.52005
23,Gen1B-6-1,1.0065,8.94898,1.00558,9.0933,1.00196,15.11092,1.00455,11.8169
24,Gen1B-7,1.01203,10.20757,1.0111,10.35267,1.00833,16.34197,1.0101,13.05999
25,Gen2E-17,1.00083,358.47508,0.66069,353.74794,0.42746,351.52342,0.08726,173.87107
26,Gen2E-18,0.99988,358.55603,0.71935,354.6421,0.46134,356.41214,0.09126,195.5619
27,Gen2E-2,0.99958,358.89852,0.74193,355.10247,0.49852,357.59669,0.12946,200.13827
28,Gen2E-30,0.99954,358.06397,0.66549,353.67902,0.42152,351.24088,0.10184,175.90783
29,Gen2E-33,0.99956,357.34113,0.69034,353.01143,0.43741,350.19658,0.09628,182.01683
30,Gen2E-34,0.9996,358.89498,0.74108,355.09099,0.49929,357.63148,0.13737,198.24357
31,Gen2E-35,0.99738,357.34425,0.71402,353.09173,0.45537,351.68831,0.10642,185.53295
32,Gen2E-36,0.99783,357.35576,0.70123,353.02019,0.44158,351.10094,0.10091,185.00062
33,Gen2E-37,0.99961,357.77141,0.77451,354.60858,0.52714,354.94555,0.12729,174.68888
34,Gen2E-5,0.99573,359.39226,0.60784,352.00392,0.45471,347.95404,0.15218,164.43987
35,Gen2E-7,0.99957,359.12245,0.73662,355.43149,0.4854,358.69611,0.09765,197.59167
36,Gen2W-1,0.99944,5.30047,0.09034,1.19372,0.3714,311.67168,0.24441,121.31355
37,Gen2W-11,0.99944,5.22766,0.06283,357.97013,0.37052,312.10793,0.24586,117.42341
38,Gen2W-12,0.99945,4.85749,0.14117,359.23035,0.36711,312.5324,0.23562,116.9689
39,Gen2W-21,0.99944,5.07524,0.13314,2.49118,0.36736,310.8749,0.24421,114.84498
40,Gen2W-24,0.99933,4.3638,0.14899,359.64309,0.36026,308.8988,0.24223,113.62235
41,Gen2W-25,0.99849,4.65633,0.07583,351.97035,0.36668,312.16564,0.23795,117.96614
42,Gen2W-5,0.99944,5.19041,0.08042,1.05524,0.37496,310.93695,0.25775,120.10744
43,Gen2W-6,0.99822,4.626,0.10174,354.14724,0.36854,313.41068,0.23751,119.78875
44,Gen3D-10,0.99723,5.21419,0.98496,4.68893,0.96653,354.28379,0.96807,258.92193
45,Gen3D-13,1.00098,5.46362,0.99015,5.01391,0.97332,354.65135,0.98086,259.27334
46,Gen3D-15,0.99715,5.47699,0.98227,4.83443,0.96287,354.36458,0.96411,258.9245
47,Gen3D-17,0.99349,4.7628,0.98171,4.25315,0.96327,353.83859,0.96693,258.47337
48,Gen3D-20,1.00126,6.34186,0.99137,5.96095,0.97536,355.68458,0.98561,260.31613
49,Gen3D-23,0.99638,5.41177,0.98161,4.77362,0.96193,354.31137,0.96327,258.86604
50,Gen3D-25,0.99478,5.48591,0.97798,4.75461,0.95664,354.25293,0.95839,258.71554
51,Gen3D-26,0.99784,5.56485,0.98312,4.93142,0.96368,354.47451,0.96626,259.01954
52,Gen3D-29,0.99563,5.62378,0.97852,4.88152,0.95709,354.38068,0.95936,258.82466
53,Gen3D-30,0.98896,5.10097,0.97,4.25922,0.9462,353.69918,0.94488,258.09286
54,Gen3D-31,0.99536,5.29518,0.98059,4.654,0.96073,354.18475,0.96209,258.73763
