,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
168,bus2E-19,0.99765,358.11503,0.89299,356.66184,0.72657,6.91009,1.07577,356.96536
169,bus2E-2,0.99935,358.71213,0.89735,357.3319,0.73785,7.36738,1.07909,357.90155
170,bus2E-20,0.99979,358.56741,0.8356,356.42297,0.66097,12.85286,1.07804,354.04424
171,bus2E-21,0.99941,357.9882,0.86726,356.21582,0.68904,9.6942,1.08195,354.62021
172,bus2E-22,0.99736,357.71037,0.87893,356.08009,0.70159,8.16061,1.08065,355.03305
173,bus2E-23,0.99783,357.35577,0.88147,355.7219,0.70189,7.45029,1.07989,354.83754
174,bus2E-24,0.99738,357.34426,0.88648,355.77137,0.70981,6.75046,1.0771,355.39002
175,bus2E-25,0.99893,357.60386,0.90898,356.3426,0.74958,4.54287,1.06849,358.24681
176,bus2E-26,0.99905,358.79411,0.82504,356.54973,0.65311,13.94098,1.0758,353.95214
177,bus2E-27,0.99857,357.94162,0.86594,356.17245,0.68735,9.7398,1.08088,354.53371
178,bus2E-28,0.99834,357.88194,0.85722,355.97782,0.67818,10.15318,1.07837,354.2503
179,bus2E-29,0.99856,357.83037,0.86486,356.03062,0.68543,9.61807,1.08021,354.41391
180,bus2E-3,1.00032,357.77215,0.91028,356.47686,0.75355,3.89321,1.05376,0.17815
181,bus2E-31,0.9981,357.20329,0.88385,355.5836,0.70432,6.96991,1.07866,354.91578
182,bus2E-32,0.99845,357.56284,0.86933,355.79824,0.6886,8.85628,1.07964,354.38316
183,bus2E-34,0.99567,356.9533,0.87799,355.27396,0.69506,7.06479,1.07619,354.33232
184,bus2E-35,0.99856,357.50807,0.86893,355.72884,0.68858,8.72414,1.07867,354.4104
185,bus2E-36,0.99942,357.31867,0.87785,355.63802,0.6975,7.83605,1.07965,354.61643
186,bus2E-37,0.99753,357.15725,0.89966,355.76682,0.73129,4.90854,1.06983,356.80864
187,bus2E-4,0.9966,359.48748,0.84516,357.37765,0.67802,11.86269,1.06606,355.66719
188,bus2E-5,0.99573,359.39226,0.84501,357.27921,0.67692,11.6896,1.06513,355.57692
189,bus2E-6,0.99018,358.52641,0.87218,356.86329,0.70467,8.41044,1.06602,356.3898
190,bus2E-7,0.99935,359.00336,0.89623,357.66491,0.73371,8.29672,1.08012,357.50465
191,bus2E-8,0.99865,358.5302,0.89385,357.10139,0.73078,7.42815,1.07751,357.40027
192,bus2E-9,0.9992,358.75428,0.89764,357.38528,0.73886,7.43187,1.08025,357.90957
193,bus2W-10,0.99817,4.66925,0.64918,1.89253,0.57859,40.80547,1.04984,353.26736
194,bus2W-13,0.99852,4.8703,0.63384,1.98365,0.57767,42.12374,1.04937,353.17939
195,bus2W-14,0.99861,4.8632,0.63059,1.91996,0.57816,42.04609,1.0496,353.2
196,bus2W-15,0.99773,4.68353,0.64046,1.77933,0.57607,41.38618,1.04872,353.12404
197,bus2W-16,0.99847,4.63253,0.6549,1.88301,0.5773,40.82595,1.04967,353.24666
198,bus2W-17,0.99743,4.43858,0.64484,1.46569,0.57585,40.48492,1.04919,353.08282
199,bus2W-18,0.99842,4.65662,0.62377,1.48076,0.57705,41.53425,1.0498,353.0792
200,bus2W-19,0.99822,4.60182,0.62107,1.34665,0.57681,41.38165,1.04972,353.05392
201,bus2W-2,0.99879,5.07069,0.64264,2.43291,0.5783,42.73844,1.04918,353.27292
202,bus2W-20,0.99771,4.27824,0.6354,1.08106,0.57598,40.21952,1.05005,352.95284
203,bus2W-22,0.99871,4.73471,0.63595,1.81854,0.57693,42.48886,1.04947,352.96919
204,bus2W-23,0.99767,4.22812,0.63813,1.07306,0.57595,40.51485,1.04983,352.8129
205,bus2W-25,0.99798,4.23411,0.6452,1.27809,0.57856,41.88441,1.04962,352.5152
206,bus2W-26,0.99366,3.31181,0.63874,0.00304,0.57225,40.00126,1.04379,351.83017
207,bus2W-27,0.99519,3.72388,0.64296,0.63278,0.5757,41.24887,1.04581,352.05271
208,bus2W-28,0.99036,2.85201,0.63829,359.5301,0.57149,40.21378,1.03914,351.26669
209,bus2W-3,0.99887,4.98454,0.64119,2.29874,0.58041,42.25861,1.0499,353.28707
210,bus2W-4,0.99822,4.626,0.65133,1.85012,0.57876,40.53583,1.05005,353.2886
211,bus2W-7,0.99824,4.33979,0.66276,1.53144,0.5792,38.90034,1.05099,353.38069
212,bus2W-8,0.99872,5.02167,0.64101,2.33203,0.57829,42.57105,1.04924,353.25319
213,bus2W-9,0.99875,4.94383,0.63924,2.20167,0.57969,42.15551,1.04979,353.26535
214,bus31-55,0.99825,346.29288,0.99036,345.6476,0.95934,333.00355,1.02342,28.91873
215,bus3D-1,0.992,5.08215,0.98573,4.68142,0.96481,356.45855,1.00707,45.52189
216,bus3D-10,0.99537,5.03054,0.99049,4.70989,0.9725,356.51053,1.01306,45.74208
217,bus3D-11,0.99277,4.6989,0.98809,4.38672,0.9702,356.17949,1.01105,45.44171
218,bus3D-12,0.99276,4.68457,0.98811,4.37469,0.97029,356.16777,1.01118,45.43312
219,bus3D-13,0.99856,5.20367,0.9943,4.92051,0.97768,356.7382,1.0185,45.99292
220,bus3D-14,0.99367,5.15676,0.98774,4.77593,0.96776,356.55886,1.00994,45.66049
221,bus3D-15,0.99521,5.2863,0.98929,4.90759,0.9696,356.69362,1.01177,45.80065
222,bus3D-16,0.99536,5.04908,0.99041,4.72468,0.97231,356.52465,1.01297,45.74786
223,bus3D-17,0.99349,4.7628,0.98891,4.45697,0.97127,356.25396,1.01214,45.51775
224,bus3D-18,0.99363,4.76018,0.98909,4.4572,0.97155,356.25505,1.01245,45.52166
225,bus3D-19,0.99492,4.86391,0.99045,4.56589,0.97313,356.36861,1.01402,45.63265
226,bus3D-2,0.99043,4.79291,0.98414,4.3873,0.96277,356.15072,1.00536,45.21967
227,bus3D-20,1.00038,5.58105,0.99634,5.3179,0.98021,357.16068,1.02072,46.41722
228,bus3D-21,0.99991,5.48701,0.99589,5.22447,0.97973,357.06496,1.02032,46.32833
229,bus3D-22,0.99449,5.2383,0.98851,4.85582,0.96858,356.64043,1.01082,45.73744
230,bus3D-24,0.99432,5.24707,0.9883,4.86172,0.96822,356.64687,1.01047,45.73395
231,bus3D-27,0.99263,5.21557,0.98615,4.80499,0.96497,356.58594,1.00732,45.62014
232,bus3D-28,0.98765,5.24891,0.97932,4.7328,0.95402,356.49573,0.99791,45.29247
233,bus3D-3,0.98831,4.89103,0.98125,4.44216,0.95832,356.2007,1.00165,45.1672
234,bus3D-6,0.98951,4.81152,0.98313,4.40121,0.96172,356.16327,1.00458,45.22361
235,bus3D-7,0.99261,5.01473,0.98672,4.6345,0.9666,356.41294,1.00873,45.52475
236,bus3D-8,0.99352,5.10696,0.98771,4.73249,0.96789,356.51531,1.00991,45.6327
237,bus3D-9,0.99535,5.29519,0.98956,4.92391,0.97004,356.71501,1.01182,45.83221
238,bus3L-1,0.98719,5.29384,0.97859,4.76303,0.95275,356.52587,0.99677,45.28775
239,bus3L-11,0.98597,4.62711,0.97568,4.08653,0.94637,356.01716,0.99152,43.98005
240,bus3L-12,0.98758,5.48876,0.97932,5.01012,0.95514,356.82706,0.9971,45.60937
241,bus3L-13,0.99497,6.70414,0.98908,6.36372,0.97028,358.28152,1.00925,47.38452
242,bus3L-14,0.99122,6.30321,0.98512,5.9479,0.96556,357.84652,1.00513,46.92174
243,bus3L-15,0.98962,6.18423,0.98372,5.83723,0.96436,357.73431,1.00369,46.83914
244,bus3L-16,0.98963,6.18501,0.98377,5.8403,0.96449,357.73822,1.00372,46.84922
245,bus3L-17,0.9833,1.85393,0.97687,1.43824,0.95588,352.57289,0.99711,43.09459
246,bus3L-19,0.99708,7.1634,0.99125,6.82989,0.97304,358.76547,1.01163,47.87109
247,bus3L-23,0.99682,6.98634,0.99077,6.64025,0.97207,358.56537,1.01117,47.63814
248,bus3L-24,0.99204,357.16411,0.9661,356.2934,0.8972,349.36987,0.9869,29.81092
249,bus3L-25,0.99242,358.14824,0.98775,357.81863,0.97285,348.18369,1.00852,40.76501
250,bus3L-26,0.99565,355.64869,0.99116,355.32477,0.97285,345.12853,1.01408,38.65891
251,bus3L-28,0.99332,353.88977,0.98868,353.55316,0.96817,342.95475,1.0143,37.11283
252,bus3L-31,0.98944,352.11188,0.98434,351.73137,0.96134,340.94308,1.01097,35.16088
253,bus3L-32,0.9912,353.17791,0.98641,352.82621,0.96496,342.15773,1.0124,36.34231
254,bus3L-33,0.99903,337.85371,0.9891,336.72049,0.94704,323.49842,1.05351,18.26126
255,bus3L-34,0.99576,338.47384,0.98532,337.3429,0.94075,324.3071,1.0469,18.67377
256,bus3L-35,0.99587,339.80539,0.98443,338.66043,0.93701,325.92713,1.04243,19.69838
257,bus3L-36,0.9943,345.44131,0.97882,344.22418,0.92728,332.60047,1.02471,24.42559
258,bus3L-37,0.99234,344.51579,0.98005,343.50019,0.93528,331.51587,1.02216,24.76953
259,bus3L-38,0.98956,344.33006,0.98113,343.59213,0.94721,331.22998,1.01748,26.39755
260,bus3L-39,0.99027,343.28786,0.98304,342.64009,0.95027,329.99467,1.01837,25.8098
261,bus3L-4,0.98652,5.24388,0.97746,4.71804,0.951,356.54043,0.99467,45.09447
262,bus3L-40,0.99252,344.31219,0.98532,343.69105,0.95343,331.01789,1.0194,26.95369
263,bus3L-41,0.99583,337.52015,0.98599,336.36889,0.94414,323.08002,1.04983,18.00051
264,bus3L-43,0.99086,337.44581,0.98087,336.23508,0.93969,322.87388,1.04333,18.01962
265,bus3L-44,0.99069,337.70206,0.9805,336.46576,0.93954,323.11635,1.04256,18.27397
266,bus3L-45,0.98979,343.11029,0.98253,342.45414,0.94978,329.81481,1.0182,25.60849
267,bus3L-46,0.98912,344.16688,0.98083,343.43032,0.94778,330.97491,1.01722,26.34558
268,bus3L-47,0.99035,344.19758,0.98234,343.48941,0.95035,330.99007,1.01846,26.50412
269,bus3L-48,0.99545,345.64472,0.98803,345.03159,0.95695,332.38579,1.02114,28.32149
270,bus3L-5,0.98792,5.73487,0.97973,5.26337,0.95584,357.11689,0.99729,45.86604
271,bus3L-50,0.99813,338.09748,0.98838,336.96592,0.94877,323.69466,1.05519,18.57467
272,bus3L-51,0.99416,338.45656,0.98337,337.16997,0.94278,323.88033,1.04495,18.99144
273,bus3L-52,0.99766,344.34479,0.98022,342.50582,0.94134,329.6255,1.02963,24.79456
274,bus3L-53,0.99605,344.06749,0.98142,342.55401,0.94417,329.71871,1.02685,25.06321
275,bus3L-54,0.99268,344.38733,0.9827,343.45192,0.94881,330.80469,1.02083,26.35178
276,bus3L-56,0.99967,346.82131,0.99207,346.21998,0.9616,333.591,1.0243,29.54349
277,bus3L-9,0.99056,6.26577,0.98402,5.8869,0.96363,357.77615,1.00383,46.78103
