,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99866,358.88941,1.00035,358.77351,0.99825,358.81886
1,Gen1A-10,0.99974,349.65935,0.99638,349.27005,0.98965,348.56561,1.00336,348.84932
2,Gen1A-11,1.0,349.68644,0.99677,349.31391,0.99047,348.58385,1.00346,348.86623
3,Gen1A-2,1.0,357.97005,0.99843,357.90988,0.99954,357.75238,0.99887,357.80444
4,Gen1A-3,1.0,359.33597,0.99876,359.31508,1.00059,359.22851,0.99797,359.26682
5,Gen1A-4,1.0,49.99998,0.99897,49.99384,1.00135,49.93498,0.99778,49.88597
6,Gen1A-5,1.0,349.94507,0.99658,349.54709,0.99043,348.80866,1.00367,349.16153
7,Gen1A-6,0.99873,349.07845,0.99541,348.68761,0.98845,347.95282,1.00239,348.26475
8,Gen1A-7,1.0,359.47023,0.99876,359.44898,1.00014,359.34609,0.99698,359.39667
9,Gen1A-8,0.99758,353.21166,0.99542,353.05332,0.99301,352.71117,0.99776,352.80298
10,Gen1A-9,0.99611,354.01638,0.99403,353.87367,0.99216,353.56151,0.99598,353.65043
11,Gen1B-1,1.00984,10.37858,1.00845,10.41656,1.00927,14.09301,1.00921,6.85885
12,Gen1B-11,0.99999,7.02756,0.9983,7.02219,0.99628,9.87277,1.00198,3.99116
13,Gen1B-12,0.99778,6.4718,0.996,6.45861,0.99305,9.29191,0.99999,3.45605
14,Gen1B-13,1.00873,9.93964,1.00725,9.97567,1.00799,13.73394,1.008,6.38185
15,Gen1B-14,1.01203,10.20758,1.01045,10.24451,1.01099,14.15104,1.01097,6.56965
16,Gen1B-2,1.0082,9.40245,1.00682,9.43291,1.00714,12.87158,1.00799,6.0159
17,Gen1B-3,1.01278,14.30337,1.01176,14.36622,1.01366,18.34217,1.01091,10.57793
18,Gen1B-3-1,1.01278,14.30337,1.01176,14.36622,1.01366,18.34217,1.01091,10.57793
19,Gen1B-4,1.00976,10.24269,1.00834,10.28046,1.0092,14.00129,1.00905,6.70108
20,Gen1B-4-1,1.01738,9.32605,1.01595,9.35598,1.01618,12.8325,1.0172,5.92099
21,Gen1B-5,1.00709,9.03109,1.00537,9.05996,1.00567,12.95593,1.00633,5.41382
22,Gen1B-6,1.00616,8.66382,1.00434,8.68927,1.00429,12.62422,1.00525,5.0307
23,Gen1B-6-1,1.0065,8.94898,1.00474,8.97722,1.00507,12.92107,1.00578,5.30834
24,Gen1B-7,1.01203,10.20757,1.01045,10.24451,1.01099,14.15104,1.01097,6.56965
25,Gen2E-17,1.00083,358.47508,0.84711,352.45769,0.71713,338.73374,1.10196,234.61236
26,Gen2E-18,0.99988,358.55603,0.87266,353.4281,0.74254,337.77189,1.10148,235.58086
27,Gen2E-2,0.99958,358.89852,0.88223,353.95325,0.76226,337.81645,1.09368,237.1498
28,Gen2E-30,0.99954,358.06397,0.84898,352.34346,0.71477,338.25039,1.09926,234.25725
29,Gen2E-33,0.99956,357.34113,0.8603,351.88945,0.72116,336.69121,1.09537,234.15164
30,Gen2E-34,0.9996,358.89498,0.88183,353.94091,0.76342,337.79389,1.09552,237.11276
31,Gen2E-35,0.99738,357.34425,0.86948,352.07956,0.7317,336.11324,1.09157,234.7596
32,Gen2E-36,0.99783,357.35576,0.86408,351.96897,0.72427,336.38119,1.0952,234.29633
33,Gen2E-37,0.99961,357.77141,0.89747,353.61027,0.77379,335.81295,1.07991,237.35585
34,Gen2E-5,0.99573,359.39226,0.82092,351.0687,0.70711,339.93007,1.08111,235.50814
35,Gen2E-7,0.99957,359.12245,0.87997,354.17757,0.75604,338.10233,1.09429,236.73721
36,Gen2W-1,0.99944,5.30047,0.59208,352.27169,0.61253,3.47524,1.07735,235.65209
37,Gen2W-11,0.99944,5.22766,0.58118,351.47096,0.61231,3.36121,1.07782,235.62629
38,Gen2W-12,0.99945,4.85749,0.61183,352.39417,0.61448,1.94466,1.07877,235.48951
39,Gen2W-21,0.99944,5.07524,0.60158,352.46209,0.61313,3.71053,1.07958,235.42829
